"Step","lemon-valley-41 - accuracy","lemon-valley-41 - accuracy__MIN","lemon-valley-41 - accuracy__MAX","Best result sgd with sam - accuracy","Best result sgd with sam - accuracy__MIN","Best result sgd with sam - accuracy__MAX","polished-microwave-39 - accuracy","polished-microwave-39 - accuracy__MIN","polished-microwave-39 - accuracy__MAX","SGD with SAM lr-0.1 - accuracy","SGD with SAM lr-0.1 - accuracy__MIN","SGD with SAM lr-0.1 - accuracy__MAX","SGD with sam lr-0.05 - accuracy","SGD with sam lr-0.05 - accuracy__MIN","SGD with sam lr-0.05 - accuracy__MAX","SGD with SAM lr-0.01 - accuracy","SGD with SAM lr-0.01 - accuracy__MIN","SGD with SAM lr-0.01 - accuracy__MAX","Adagrad lr-0.001 - accuracy","Adagrad lr-0.001 - accuracy__MIN","Adagrad lr-0.001 - accuracy__MAX","Adagrad lr-0.005 - accuracy","Adagrad lr-0.005 - accuracy__MIN","Adagrad lr-0.005 - accuracy__MAX","Adagrad lr -0.01 - accuracy","Adagrad lr -0.01 - accuracy__MIN","Adagrad lr -0.01 - accuracy__MAX","RMSprop lr-0.005 - accuracy","RMSprop lr-0.005 - accuracy__MIN","RMSprop lr-0.005 - accuracy__MAX","RMSprop lr-0.05 - accuracy","RMSprop lr-0.05 - accuracy__MIN","RMSprop lr-0.05 - accuracy__MAX","RMSprop lr-0.01 - accuracy","RMSprop lr-0.01 - accuracy__MIN","RMSprop lr-0.01 - accuracy__MAX","Adam lr-0.0001 - accuracy","Adam lr-0.0001 - accuracy__MIN","Adam lr-0.0001 - accuracy__MAX","Adam lr-0.0005 overflow - accuracy","Adam lr-0.0005 overflow - accuracy__MIN","Adam lr-0.0005 overflow - accuracy__MAX","Adam lr-0.001 batch_size 64 - accuracy","Adam lr-0.001 batch_size 64 - accuracy__MIN","Adam lr-0.001 batch_size 64 - accuracy__MAX","SGD lr-0.001 batch_size 256 - accuracy","SGD lr-0.001 batch_size 256 - accuracy__MIN","SGD lr-0.001 batch_size 256 - accuracy__MAX","SGD-lr-0.05-batch_size 128 - accuracy","SGD-lr-0.05-batch_size 128 - accuracy__MIN","SGD-lr-0.05-batch_size 128 - accuracy__MAX","SGD-lr-0.01-batch_size-128 - accuracy","SGD-lr-0.01-batch_size-128 - accuracy__MIN","SGD-lr-0.01-batch_size-128 - accuracy__MAX"
"0","0.1274","0.1274","0.1274","0.1832","0.1832","0.1832","0.1636","0.1636","0.1636","0.1623","0.1623","0.1623","0.1708","0.1708","0.1708","0.1318","0.1318","0.1318","0.2694","0.2694","0.2694","0.2926","0.2926","0.2926","0.2766","0.2766","0.2766","0.2064","0.2064","0.2064","0.0999","0.0999","0.0999","0.1384","0.1384","0.1384","0.2707","0.2707","0.2707","0.2994","0.2994","0.2994","0.2969","0.2969","0.2969","0.103","0.103","0.103","","","","","",""
"1","0.1322","0.1322","0.1322","0.1929","0.1929","0.1929","0.2094","0.2094","0.2094","0.2342","0.2342","0.2342","0.2009","0.2009","0.2009","0.1446","0.1446","0.1446","0.2984","0.2984","0.2984","0.3358","0.3358","0.3358","0.325","0.325","0.325","0.2455","0.2455","0.2455","0.1","0.1","0.1","0.177","0.177","0.177","0.3167","0.3167","0.3167","0.3509","0.3509","0.3509","0.3406","0.3406","0.3406","0.1046","0.1046","0.1046","0.1272","0.1272","0.1272","0.1259","0.1259","0.1259"
"2","0.1278","0.1278","0.1278","0.1825","0.1825","0.1825","0.2583","0.2583","0.2583","0.2588","0.2588","0.2588","0.2463","0.2463","0.2463","0.1676","0.1676","0.1676","0.3134","0.3134","0.3134","0.3536","0.3536","0.3536","0.3515","0.3515","0.3515","0.2918","0.2918","0.2918","0.1","0.1","0.1","0.1652","0.1652","0.1652","0.3358","0.3358","0.3358","0.3599","0.3599","0.3599","0.3528","0.3528","0.3528","0.1075","0.1075","0.1075","0.1388","0.1388","0.1388","0.1825","0.1825","0.1825"
"3","0.1363","0.1363","0.1363","0.1727","0.1727","0.1727","0.2856","0.2856","0.2856","0.2859","0.2859","0.2859","0.2647","0.2647","0.2647","0.1772","0.1772","0.1772","0.3343","0.3343","0.3343","0.3678","0.3678","0.3678","0.3577","0.3577","0.3577","0.2796","0.2796","0.2796","0.1","0.1","0.1","0.1578","0.1578","0.1578","0.3539","0.3539","0.3539","0.3678","0.3678","0.3678","0.3674","0.3674","0.3674","0.1106","0.1106","0.1106","0.1773","0.1773","0.1773","0.1978","0.1978","0.1978"
"4","0.1633","0.1633","0.1633","0.1677","0.1677","0.1677","0.3037","0.3037","0.3037","0.313","0.313","0.313","0.2848","0.2848","0.2848","0.209","0.209","0.209","0.3409","0.3409","0.3409","0.3739","0.3739","0.3739","0.3718","0.3718","0.3718","0.3232","0.3232","0.3232","0.1","0.1","0.1","0.1962","0.1962","0.1962","0.373","0.373","0.373","0.3891","0.3891","0.3891","0.3759","0.3759","0.3759","0.1199","0.1199","0.1199","0.1931","0.1931","0.1931","0.202","0.202","0.202"
"5","0.1819","0.1819","0.1819","0.1761","0.1761","0.1761","0.3185","0.3185","0.3185","0.3195","0.3195","0.3195","0.2946","0.2946","0.2946","0.2302","0.2302","0.2302","0.3485","0.3485","0.3485","0.38","0.38","0.38","0.378","0.378","0.378","0.3001","0.3001","0.3001","0.1","0.1","0.1","0.2345","0.2345","0.2345","0.3834","0.3834","0.3834","0.3967","0.3967","0.3967","0.3799","0.3799","0.3799","0.1317","0.1317","0.1317","0.1919","0.1919","0.1919","0.204","0.204","0.204"
"6","0.1943","0.1943","0.1943","0.1926","0.1926","0.1926","0.3259","0.3259","0.3259","0.3387","0.3387","0.3387","0.314","0.314","0.314","0.2525","0.2525","0.2525","0.348","0.348","0.348","0.3932","0.3932","0.3932","0.4005","0.4005","0.4005","0.3427","0.3427","0.3427","0.0999","0.0999","0.0999","0.2429","0.2429","0.2429","0.3907","0.3907","0.3907","0.4","0.4","0.4","0.3885","0.3885","0.3885","0.1415","0.1415","0.1415","0.1983","0.1983","0.1983","0.2252","0.2252","0.2252"
"7","0.2007","0.2007","0.2007","0.2082","0.2082","0.2082","0.3478","0.3478","0.3478","0.3399","0.3399","0.3399","0.3149","0.3149","0.3149","0.2621","0.2621","0.2621","0.358","0.358","0.358","0.3931","0.3931","0.3931","0.3931","0.3931","0.3931","0.3264","0.3264","0.3264","0.0998","0.0998","0.0998","0.2305","0.2305","0.2305","0.3876","0.3876","0.3876","0.4103","0.4103","0.4103","0.3936","0.3936","0.3936","0.1532","0.1532","0.1532","0.1949","0.1949","0.1949","0.2374","0.2374","0.2374"
"8","0.196","0.196","0.196","0.2267","0.2267","0.2267","0.3471","0.3471","0.3471","0.366","0.366","0.366","0.3286","0.3286","0.3286","0.2792","0.2792","0.2792","0.3621","0.3621","0.3621","0.4055","0.4055","0.4055","0.4064","0.4064","0.4064","0.3448","0.3448","0.3448","0.1","0.1","0.1","0.2825","0.2825","0.2825","0.4054","0.4054","0.4054","0.4157","0.4157","0.4157","0.4061","0.4061","0.4061","0.1656","0.1656","0.1656","0.2057","0.2057","0.2057","0.2501","0.2501","0.2501"
"9","0.1984","0.1984","0.1984","0.243","0.243","0.243","0.3634","0.3634","0.3634","0.3715","0.3715","0.3715","0.3293","0.3293","0.3293","0.2862","0.2862","0.2862","0.3675","0.3675","0.3675","0.4097","0.4097","0.4097","0.4181","0.4181","0.4181","0.3018","0.3018","0.3018","0.1","0.1","0.1","0.2784","0.2784","0.2784","0.4011","0.4011","0.4011","0.4202","0.4202","0.4202","0.4093","0.4093","0.4093","0.1812","0.1812","0.1812","0.2105","0.2105","0.2105","0.262","0.262","0.262"
